leg,tickLead,tickRace,distance,area
1,2286.0,2286.0,205.88,0.0
1,2290.0,2290.0,205.831,0.0
1,2295.0,2295.0,205.796,0.0
1,2300.0,2300.0,205.768,0.0
1,2305.0,2305.0,205.722,0.0
1,2310.0,2310.0,205.706,0.0
1,2315.0,2315.0,205.69,0.0
1,2320.0,2320.0,205.652,0.0
1,2325.0,2325.0,205.585,0.0
1,2330.0,2330.0,205.478,0.0
1,2335.0,2335.0,205.382,0.0
1,2340.0,2340.0,205.29,0.0
1,2345.0,2345.0,205.197,0.0
1,2350.0,2350.0,205.191,0.0
1,2451.0,2451.0,205.139,0.0
1,2471.0,2471.0,205.066,0.0
1,2476.0,2476.0,205.021,0.0
1,2491.0,2491.0,204.98,0.0
1,2506.0,2506.0,204.925,0.0
1,2521.0,2521.0,204.874,0.0
1,2536.0,2536.0,204.81,0.0
1,2551.0,2551.0,204.741,0.0
1,2566.0,2566.0,204.697,0.0
1,2571.0,2571.0,204.629,0.0
1,2591.0,2591.0,204.586,0.0
1,2606.0,2606.0,204.546,0.0
1,2621.0,2621.0,204.503,0.0
1,2636.0,2636.0,204.445,0.0
1,2641.0,2641.0,204.418,0.0
1,2656.0,2656.0,204.4,0.0
1,2661.0,2661.0,204.358,0.0
1,2676.0,2676.0,204.334,0.0
1,2681.0,2681.0,204.304,0.0
1,2696.0,2696.0,204.243,0.0
1,2701.0,2701.0,204.207,0.0
1,2716.0,2716.0,204.172,0.0
1,2721.0,2721.0,204.167,0.0
1,2741.0,2741.0,204.103,0.0
1,2746.0,2746.0,204.074,0.0
1,2766.0,2766.0,204.024,0.0
1,2771.0,2771.0,203.956,0.0
1,2776.0,2776.0,203.889,0.0
1,2781.0,2781.0,203.804,0.0
1,2786.0,2786.0,203.701,0.0
1,2791.0,2791.0,203.59,0.0
1,2796.0,2796.0,203.493,0.0
2,2801.0,2801.0,203.396,1.2831155080941247e-9
2,2806.0,2806.0,203.29,1.4039696382940433e-9
2,2811.0,2811.0,203.167,1.6311185478521068e-9
2,2816.0,2816.0,203.074,1.2348218720499251e-9
2,2821.0,2821.0,202.98,1.2497400697510101e-9
2,2826.0,2826.0,202.883,1.2913034602315516e-9
2,2831.0,2831.0,202.803,1.066411546827512e-9
2,2836.0,2836.0,202.751,6.941658128387134e-10
